symbol,start,end,download_start_date_str,download_end_date_str,download_start_month_str,download_end_month_str
BTCUSDT,2017-08-17,2026-01-20,2017-08-17,2026-01-19,2017-08,2025-12
ETHUSDT,2017-08-17,2026-01-20,2017-08-17,2026-01-19,2017-08,2025-12
BNBUSDT,2017-11-06,2026-01-20,2017-11-06,2026-01-19,2017-11,2025-12
BCCUSDT,2017-11-11,2018-11-20,2017-11-11,2018-11-20,2017-11,2018-11
NEOUSDT,2017-11-20,2026-01-20,2017-11-20,2026-01-19,2017-11,2025-12
LTCUSDT,2017-12-13,2026-01-20,2017-12-13,2026-01-19,2017-12,2025-12
QTUMUSDT,2018-03-19,2026-01-20,2018-03-19,2026-01-19,2018-03,2025-12
ADAUSDT,2018-04-17,2026-01-20,2018-04-17,2026-01-19,2018-04,2025-12
XRPUSDT,2018-05-04,2026-01-20,2018-05-04,2026-01-19,2018-05,2025-12
EOSUSDT,2018-05-28,2025-05-26,2018-05-28,2025-05-26,2018-05,2025-05
TUSDUSDT,2018-05-31,2026-01-20,2018-05-31,2026-01-19,2018-05,2025-12
IOTAUSDT,2018-05-31,2026-01-20,2018-05-31,2026-01-19,2018-05,2025-12
XLMUSDT,2018-05-31,2026-01-20,2018-05-31,2026-01-19,2018-05,2025-12
ONTUSDT,2018-06-08,2026-01-20,2018-06-08,2026-01-19,2018-06,2025-12
TRXUSDT,2018-06-11,2026-01-20,2018-06-11,2026-01-19,2018-06,2025-12
ETCUSDT,2018-06-12,2026-01-20,2018-06-12,2026-01-19,2018-06,2025-12
ICXUSDT,2018-06-13,2026-01-20,2018-06-13,2026-01-19,2018-06,2025-12
VENUSDT,2018-06-22,2018-10-19,2018-06-22,2018-10-19,2018-06,2018-10
NULSUSDT,2018-07-23,2025-04-16,2018-07-23,2025-04-16,2018-07,2025-04
VETUSDT,2018-07-25,2026-01-20,2018-07-25,2026-01-19,2018-07,2025-12
PAXUSDT,2018-10-04,2021-09-06,2018-10-04,2021-09-06,2018-10,2021-09
BCHABCUSDT,2018-11-16,2019-11-28,2018-11-16,2019-11-28,2018-11,2019-11
BCHSVUSDT,2018-11-16,2019-04-22,2018-11-16,2019-04-22,2018-11,2019-04
USDCUSDT,2018-12-15,2026-01-20,2018-12-15,2026-01-19,2018-12,2025-12
LINKUSDT,2019-01-16,2026-01-20,2019-01-16,2026-01-19,2019-01,2025-12
WAVESUSDT,2019-01-18,2024-06-17,2019-01-18,2024-06-17,2019-01,2024-06
BTTUSDT,2019-01-31,2022-01-17,2019-01-31,2022-01-17,2019-01,2022-01
USDSUSDT,2019-02-14,2020-06-24,2019-02-14,2020-06-24,2019-02,2020-06
ONGUSDT,2019-02-16,2026-01-20,2019-02-16,2026-01-19,2019-02,2025-12
HOTUSDT,2019-02-18,2026-01-20,2019-02-18,2026-01-19,2019-02,2025-12
ZILUSDT,2019-02-19,2026-01-20,2019-02-19,2026-01-19,2019-02,2025-12
ZRXUSDT,2019-02-28,2026-01-20,2019-02-28,2026-01-19,2019-02,2025-12
FETUSDT,2019-02-28,2026-01-20,2019-02-28,2026-01-19,2019-02,2025-12
BATUSDT,2019-03-04,2026-01-20,2019-03-04,2026-01-19,2019-03,2025-12
XMRUSDT,2019-03-15,2024-02-20,2019-03-15,2024-02-20,2019-03,2024-02
ZECUSDT,2019-03-21,2026-01-20,2019-03-21,2026-01-19,2019-03,2025-12
IOSTUSDT,2019-03-22,2026-01-20,2019-03-22,2026-01-19,2019-03,2025-12
CELRUSDT,2019-03-25,2026-01-20,2019-03-25,2026-01-19,2019-03,2025-12
DASHUSDT,2019-03-28,2026-01-20,2019-03-28,2026-01-19,2019-03,2025-12
NANOUSDT,2019-04-03,2022-01-24,2019-04-03,2022-01-24,2019-04,2022-01
OMGUSDT,2019-04-03,2024-06-17,2019-04-03,2024-06-17,2019-04,2024-06
THETAUSDT,2019-04-10,2026-01-20,2019-04-10,2026-01-19,2019-04,2025-12
ENJUSDT,2019-04-18,2026-01-20,2019-04-18,2026-01-19,2019-04,2025-12
MITHUSDT,2019-04-19,2022-12-22,2019-04-19,2022-12-22,2019-04,2022-12
MATICUSDT,2019-04-26,2024-09-10,2019-04-26,2024-09-10,2019-04,2024-09
ATOMUSDT,2019-04-29,2026-01-20,2019-04-29,2026-01-19,2019-04,2025-12
TFUELUSDT,2019-05-24,2026-01-20,2019-05-24,2026-01-19,2019-05,2025-12
ONEUSDT,2019-06-01,2026-01-20,2019-06-01,2026-01-19,2019-06,2025-12
FTMUSDT,2019-06-11,2025-01-13,2019-06-11,2025-01-13,2019-06,2025-01
ALGOUSDT,2019-06-22,2026-01-20,2019-06-22,2026-01-19,2019-06,2025-12
USDSBUSDT,2019-06-24,2019-09-27,2019-06-24,2019-09-27,2019-06,2019-09
GTOUSDT,2019-07-01,2022-11-28,2019-07-01,2022-11-28,2019-07,2022-11
ERDUSDT,2019-07-04,2020-08-31,2019-07-04,2020-08-31,2019-07,2020-08
DOGEUSDT,2019-07-05,2026-01-20,2019-07-05,2026-01-19,2019-07,2025-12
DUSKUSDT,2019-07-22,2026-01-20,2019-07-22,2026-01-19,2019-07,2025-12
ANKRUSDT,2019-07-23,2026-01-20,2019-07-23,2026-01-19,2019-07,2025-12
WINUSDT,2019-08-01,2026-01-20,2019-08-01,2026-01-19,2019-08,2025-12
COSUSDT,2019-08-03,2026-01-20,2019-08-03,2026-01-19,2019-08,2025-12
NPXSUSDT,2019-08-13,2021-04-05,2019-08-13,2021-04-05,2019-08,2021-04
COCOSUSDT,2019-08-21,2023-05-29,2019-08-21,2023-05-29,2019-08,2023-05
MTLUSDT,2019-08-23,2026-01-20,2019-08-23,2026-01-19,2019-08,2025-12
TOMOUSDT,2019-08-24,2023-11-20,2019-08-24,2023-11-20,2019-08,2023-11
PERLUSDT,2019-08-26,2023-12-07,2019-08-26,2023-12-07,2019-08,2023-12
DENTUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
MFTUSDT,2019-08-27,2023-01-03,2019-08-27,2023-01-03,2019-08,2023-01
KEYUSDT,2019-08-27,2024-12-10,2019-08-27,2024-12-10,2019-08,2024-12
STORMUSDT,2019-08-27,2020-06-08,2019-08-27,2020-06-08,2019-08,2020-06
DOCKUSDT,2019-08-27,2024-07-22,2019-08-27,2024-07-22,2019-08,2024-07
WANUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
FUNUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
CVCUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
CHZUSDT,2019-09-06,2026-01-20,2019-09-06,2026-01-19,2019-09,2025-12
BANDUSDT,2019-09-18,2026-01-20,2019-09-18,2026-01-19,2019-09,2025-12
BUSDUSDT,2019-09-20,2023-12-15,2019-09-20,2023-12-15,2019-09,2023-12
BEAMUSDT,2019-09-21,2023-01-26,2019-09-21,2023-01-26,2019-09,2023-01
XTZUSDT,2019-09-24,2026-01-20,2019-09-24,2026-01-19,2019-09,2025-12
RENUSDT,2019-09-25,2024-12-10,2019-09-25,2024-12-10,2019-09,2024-12
RVNUSDT,2019-09-25,2026-01-20,2019-09-25,2026-01-19,2019-09,2025-12
HCUSDT,2019-09-25,2020-11-10,2019-09-25,2020-11-10,2019-09,2020-11
HBARUSDT,2019-09-29,2026-01-20,2019-09-29,2026-01-19,2019-09,2025-12
NKNUSDT,2019-10-11,2026-01-20,2019-10-11,2026-01-19,2019-10,2025-12
STXUSDT,2019-10-25,2026-01-20,2019-10-25,2026-01-19,2019-10,2025-12
KAVAUSDT,2019-10-25,2026-01-20,2019-10-25,2026-01-19,2019-10,2025-12
ARPAUSDT,2019-11-06,2026-01-20,2019-11-06,2026-01-19,2019-11,2025-12
IOTXUSDT,2019-11-14,2026-01-20,2019-11-14,2026-01-19,2019-11,2025-12
RLCUSDT,2019-11-14,2026-01-20,2019-11-14,2026-01-19,2019-11,2025-12
MCOUSDT,2019-11-19,2020-10-23,2019-11-19,2020-10-23,2019-11,2020-10
CTXCUSDT,2019-11-22,2025-04-16,2019-11-22,2025-04-16,2019-11,2025-04
BCHUSDT,2019-11-28,2026-01-20,2019-11-28,2026-01-19,2019-11,2025-12
TROYUSDT,2019-12-05,2025-04-16,2019-12-05,2025-04-16,2019-12,2025-04
VITEUSDT,2019-12-13,2025-02-24,2019-12-13,2025-02-24,2019-12,2025-02
FTTUSDT,2019-12-20,2026-01-20,2019-12-20,2026-01-19,2019-12,2025-12
EURUSDT,2020-01-03,2026-01-20,2020-01-03,2026-01-19,2020-01,2025-12
OGNUSDT,2020-01-09,2026-01-20,2020-01-09,2026-01-19,2020-01,2025-12
DREPUSDT,2020-01-16,2024-04-03,2020-01-16,2024-04-03,2020-01,2024-04
BULLUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
BEARUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
ETHBULLUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
ETHBEARUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
TCTUSDT,2020-01-21,2022-10-24,2020-01-21,2022-10-24,2020-01,2022-10
WRXUSDT,2020-02-05,2024-12-25,2020-02-05,2024-12-25,2020-02,2024-12
BTSUSDT,2020-02-06,2023-12-07,2020-02-06,2023-12-07,2020-02,2023-12
LSKUSDT,2020-02-06,2026-01-20,2020-02-06,2026-01-19,2020-02,2025-12
BNTUSDT,2020-02-06,2026-01-20,2020-02-06,2026-01-19,2020-02,2025-12
LTOUSDT,2020-02-07,2025-07-04,2020-02-07,2025-07-04,2020-02,2025-07
EOSBULLUSDT,2020-02-12,2020-03-31,2020-02-12,2020-03-31,2020-02,2020-03
EOSBEARUSDT,2020-02-12,2020-03-31,2020-02-12,2020-03-31,2020-02,2020-03
XRPBULLUSDT,2020-02-12,2020-03-31,2020-02-12,2020-03-31,2020-02,2020-03
XRPBEARUSDT,2020-02-12,2020-03-31,2020-02-12,2020-03-31,2020-02,2020-03
STRATUSDT,2020-02-19,2020-11-12,2020-02-19,2020-11-12,2020-02,2020-11
AIONUSDT,2020-02-19,2023-02-27,2020-02-19,2023-02-27,2020-02,2023-02
MBLUSDT,2020-02-21,2026-01-20,2020-02-21,2026-01-19,2020-02,2025-12
COTIUSDT,2020-02-26,2026-01-20,2020-02-26,2026-01-19,2020-02,2025-12
BNBBULLUSDT,2020-03-11,2020-03-31,2020-03-11,2020-03-31,2020-03,2020-03
BNBBEARUSDT,2020-03-11,2020-03-31,2020-03-11,2020-03-31,2020-03,2020-03
STPTUSDT,2020-03-25,2025-05-19,2020-03-25,2025-05-19,2020-03,2025-05
WTCUSDT,2020-04-07,2023-12-07,2020-04-07,2023-12-07,2020-04,2023-12
DATAUSDT,2020-04-07,2026-01-20,2020-04-07,2026-01-19,2020-04,2025-12
XZCUSDT,2020-04-07,2021-01-25,2020-04-07,2021-01-25,2020-04,2021-01
SOLUSDT,2020-08-11,2026-01-20,2020-08-11,2026-01-19,2020-08,2025-12
CTSIUSDT,2020-04-23,2026-01-20,2020-04-23,2026-01-19,2020-04,2025-12
HIVEUSDT,2020-04-27,2026-01-20,2020-04-27,2026-01-19,2020-04,2025-12
CHRUSDT,2020-05-07,2026-01-20,2020-05-07,2026-01-19,2020-05,2025-12
BTCUPUSDT,2020-05-14,2024-02-28,2020-05-14,2024-02-28,2020-05,2024-02
BTCDOWNUSDT,2020-05-14,2024-02-28,2020-05-14,2024-02-28,2020-05,2024-02
GXSUSDT,2020-05-13,2022-04-25,2020-05-13,2022-04-25,2020-05,2022-04
ARDRUSDT,2020-05-15,2026-01-20,2020-05-15,2026-01-19,2020-05,2025-12
LENDUSDT,2020-05-15,2020-10-12,2020-05-15,2020-10-12,2020-05,2020-10
MDTUSDT,2020-06-05,2026-01-20,2020-06-05,2026-01-19,2020-06,2025-12
STMXUSDT,2020-06-11,2025-02-24,2020-06-11,2025-02-24,2020-06,2025-02
KNCUSDT,2020-06-12,2026-01-20,2020-06-12,2026-01-19,2020-06,2025-12
REPUSDT,2020-06-12,2022-12-22,2020-06-12,2022-12-22,2020-06,2022-12
LRCUSDT,2020-06-12,2026-01-20,2020-06-12,2026-01-19,2020-06,2025-12
PNTUSDT,2020-06-22,2024-04-03,2020-06-22,2024-04-03,2020-06,2024-04
COMPUSDT,2020-06-25,2026-01-20,2020-06-25,2026-01-19,2020-06,2025-12
BKRWUSDT,2020-07-06,2020-08-07,2020-07-06,2020-08-07,2020-07,2020-08
SCUSDT,2020-07-06,2026-01-20,2020-07-06,2026-01-19,2020-07,2025-12
ZENUSDT,2020-07-06,2026-01-20,2020-07-06,2026-01-19,2020-07,2025-12
SNXUSDT,2020-07-09,2026-01-20,2020-07-09,2026-01-19,2020-07,2025-12
ETHUPUSDT,2020-07-13,2024-02-28,2020-07-13,2024-02-28,2020-07,2024-02
ETHDOWNUSDT,2020-07-13,2024-02-28,2020-07-13,2024-02-28,2020-07,2024-02
ADAUPUSDT,2020-07-16,2023-08-16,2020-07-16,2023-08-16,2020-07,2023-08
ADADOWNUSDT,2020-07-16,2023-08-16,2020-07-16,2023-08-16,2020-07,2023-08
LINKUPUSDT,2020-07-16,2023-04-06,2020-07-16,2023-04-06,2020-07,2023-04
LINKDOWNUSDT,2020-07-16,2023-04-06,2020-07-16,2023-04-06,2020-07,2023-04
VTHOUSDT,2020-07-17,2026-01-20,2020-07-17,2026-01-19,2020-07,2025-12
DGBUSDT,2020-07-20,2026-01-20,2020-07-20,2026-01-19,2020-07,2025-12
GBPUSDT,2020-07-20,2023-12-29,2020-07-20,2023-12-29,2020-07,2023-12
SXPUSDT,2020-07-20,2026-01-20,2020-07-20,2026-01-19,2020-07,2025-12
MKRUSDT,2020-07-23,2025-09-15,2020-07-23,2025-09-15,2020-07,2025-09
DAIUSDT,2020-07-23,2020-08-12,2020-07-23,2020-08-12,2020-07,2020-08
DCRUSDT,2020-07-30,2026-01-20,2020-07-30,2026-01-19,2020-07,2025-12
STORJUSDT,2020-07-30,2026-01-20,2020-07-30,2026-01-19,2020-07,2025-12
BNBUPUSDT,2020-08-06,2024-02-28,2020-08-06,2024-02-28,2020-08,2024-02
BNBDOWNUSDT,2020-08-06,2024-02-28,2020-08-06,2024-02-28,2020-08,2024-02
XTZUPUSDT,2020-08-07,2022-01-27,2020-08-07,2022-01-27,2020-08,2022-01
XTZDOWNUSDT,2020-08-07,2022-01-27,2020-08-07,2022-01-27,2020-08,2022-01
MANAUSDT,2020-08-06,2026-01-20,2020-08-06,2026-01-19,2020-08,2025-12
AUDUSDT,2020-08-07,2023-06-01,2020-08-07,2023-06-01,2020-08,2023-06
YFIUSDT,2020-08-10,2026-01-20,2020-08-10,2026-01-19,2020-08,2025-12
BALUSDT,2020-08-11,2025-04-16,2020-08-11,2025-04-16,2020-08,2025-04
BLZUSDT,2020-08-11,2024-12-25,2020-08-11,2024-12-25,2020-08,2024-12
IRISUSDT,2020-08-11,2024-12-10,2020-08-11,2024-12-10,2020-08,2024-12
KMDUSDT,2020-08-11,2025-07-04,2020-08-11,2025-07-04,2020-08,2025-07
JSTUSDT,2020-08-11,2026-01-20,2020-08-11,2026-01-19,2020-08,2025-12
SRMUSDT,2020-08-11,2022-11-28,2020-08-11,2022-11-28,2020-08,2022-11
ANTUSDT,2020-08-13,2024-02-20,2020-08-13,2024-02-20,2020-08,2024-02
CRVUSDT,2020-08-15,2026-01-20,2020-08-15,2026-01-19,2020-08,2025-12
SANDUSDT,2020-08-14,2026-01-20,2020-08-14,2026-01-19,2020-08,2025-12
OCEANUSDT,2020-08-19,2024-07-01,2020-08-19,2024-07-01,2020-08,2024-07
NMRUSDT,2020-08-19,2026-01-20,2020-08-19,2026-01-19,2020-08,2025-12
DOTUSDT,2020-08-18,2026-01-20,2020-08-18,2026-01-19,2020-08,2025-12
LUNAUSDT,2020-08-21,2026-01-20,2020-08-21,2026-01-19,2020-08,2025-12
RSRUSDT,2020-08-27,2026-01-20,2020-08-27,2026-01-19,2020-08,2025-12
PAXGUSDT,2020-08-28,2026-01-20,2020-08-28,2026-01-19,2020-08,2025-12
WNXMUSDT,2020-08-28,2024-06-17,2020-08-28,2024-06-17,2020-08,2024-06
TRBUSDT,2020-08-29,2026-01-20,2020-08-29,2026-01-19,2020-08,2025-12
BZRXUSDT,2020-08-31,2021-12-20,2020-08-31,2021-12-20,2020-08,2021-12
SUSHIUSDT,2020-09-01,2026-01-20,2020-09-01,2026-01-19,2020-09,2025-12
YFIIUSDT,2020-09-01,2023-08-22,2020-09-01,2023-08-22,2020-09,2023-08
KSMUSDT,2020-09-04,2026-01-20,2020-09-04,2026-01-19,2020-09,2025-12
EGLDUSDT,2020-09-03,2026-01-20,2020-09-03,2026-01-19,2020-09,2025-12
DIAUSDT,2020-09-04,2026-01-20,2020-09-04,2026-01-19,2020-09,2025-12
RUNEUSDT,2020-09-04,2026-01-20,2020-09-04,2026-01-19,2020-09,2025-12
FIOUSDT,2020-09-04,2026-01-20,2020-09-04,2026-01-19,2020-09,2025-12
UMAUSDT,2020-09-09,2026-01-20,2020-09-09,2026-01-19,2020-09,2025-12
EOSUPUSDT,2020-09-10,2021-12-23,2020-09-10,2021-12-23,2020-09,2021-12
EOSDOWNUSDT,2020-09-10,2021-12-23,2020-09-10,2021-12-23,2020-09,2021-12
TRXUPUSDT,2020-09-10,2022-11-29,2020-09-10,2022-11-29,2020-09,2022-11
TRXDOWNUSDT,2020-09-10,2022-11-29,2020-09-10,2022-11-29,2020-09,2022-11
XRPUPUSDT,2020-09-11,2023-05-12,2020-09-11,2023-05-12,2020-09,2023-05
XRPDOWNUSDT,2020-09-11,2023-05-12,2020-09-11,2023-05-12,2020-09,2023-05
DOTUPUSDT,2020-09-11,2022-11-29,2020-09-11,2022-11-29,2020-09,2022-11
DOTDOWNUSDT,2020-09-11,2022-11-29,2020-09-11,2022-11-29,2020-09,2022-11
BELUSDT,2020-09-15,2026-01-20,2020-09-15,2026-01-19,2020-09,2025-12
WINGUSDT,2020-09-16,2025-05-02,2020-09-16,2025-05-02,2020-09,2025-05
LTCUPUSDT,2020-09-16,2022-01-27,2020-09-16,2022-01-27,2020-09,2022-01
LTCDOWNUSDT,2020-09-16,2022-01-27,2020-09-16,2022-01-27,2020-09,2022-01
UNIUSDT,2020-09-17,2026-01-20,2020-09-17,2026-01-19,2020-09,2025-12
NBSUSDT,2020-09-21,2022-10-24,2020-09-21,2022-10-24,2020-09,2022-10
OXTUSDT,2020-09-21,2026-01-20,2020-09-21,2026-01-19,2020-09,2025-12
SUNUSDT,2020-09-21,2026-01-20,2020-09-21,2026-01-19,2020-09,2025-12
AVAXUSDT,2020-09-22,2026-01-20,2020-09-22,2026-01-19,2020-09,2025-12
HNTUSDT,2020-09-24,2022-10-14,2020-09-24,2022-10-14,2020-09,2022-10
FLMUSDT,2020-09-28,2025-11-12,2020-09-28,2025-11-12,2020-09,2025-11
UNIUPUSDT,2020-09-30,2021-12-23,2020-09-30,2021-12-23,2020-09,2021-12
UNIDOWNUSDT,2020-09-30,2021-12-23,2020-09-30,2021-12-23,2020-09,2021-12
ORNUSDT,2020-09-30,2024-10-15,2020-09-30,2024-10-15,2020-09,2024-10
UTKUSDT,2020-10-02,2026-01-20,2020-10-02,2026-01-19,2020-10,2025-12
XVSUSDT,2020-10-06,2026-01-20,2020-10-06,2026-01-19,2020-10,2025-12
ALPHAUSDT,2020-10-10,2025-07-04,2020-10-10,2025-07-04,2020-10,2025-07
AAVEUSDT,2020-10-15,2026-01-20,2020-10-15,2026-01-19,2020-10,2025-12
NEARUSDT,2020-10-14,2026-01-20,2020-10-14,2026-01-19,2020-10,2025-12
SXPUPUSDT,2020-10-15,2021-11-25,2020-10-15,2021-11-25,2020-10,2021-11
